"key", "en", "ru", "ch", "de", "fr", ""
"attack51", " Now if Your Current HP is below 20 % you deal + ", " При уровне здоровья ниже 20% вы получаете + ", "现在，如果您当前的HP低于20％，您就可以交易 + ", "Wenn Ihre aktuellen HP unter 20% liegen, handeln Sie + ", "maintenant, si votre HP actuel est inférieur à 20%, vous traitez +", ""
"attack52", " % more damage ", " % к урону ", "% 损坏百分比", "% zu beschädigen", "% plus de dégats", ""
"agility1", " % To Crit chance", " % к шансу крит. урона ", "% 暴击几率", "% zur kritischen Chance. Schaden", "% De chances de coup critique", ""
"agility2", " % To Block chance ", " % к шансу блока ", "% 阻止机会", "%, um die Chance zu blockieren", "% pour bloquer la chance", ""
"agility3", " % To Dodge chance", " % к шансу уворота ", "% 闪避机会", "% Chance auszuweichen", "% chance d'esquiver", ""
"agility4", " % To all Melee Damage ", " % ко всему ближнему бою ", "% 混战", "% auf alle Nahkampf", "% à tous les corps à corps", ""
"agility5", " % less of Damage pass through block ", " % меньше урона через блок ", "% 更少的伤害穿过格挡", "% weniger Schaden durch den Block", "% moins de dégâts passent à travers le bloc", ""
"power1", " % To Damage reduction", " % к сопротивлению физ. урону ", "％物理抵抗", "% auf physischen Widerstand", "% De réduction des dégâts", ""
"power2", " You can use Double Handed weapons ", " Открывает двуручное оружие ", "解锁双手武器", "Sie können Zweihandwaffen verwenden", "Vous pouvez utiliser des armes à deux mains", ""
"power3", " % To Damage reduction ", " % к снижению физ. урона", "% 减少伤害", "% Zur Schadensreduzierung", "% De réduction des dégâts", ""
"power4", " % to enemy magic ", " % к магии", "% 对敌魔法", "% zur feindlichen Magie", "% à la magie ennemie", ""
"power5", " % Damage through enemy block  ", " % урона через вражеский блок ", "敌人阻挡造成的％伤害", "% Schaden durch feindlichen Block", "% De dégâts à travers le bloc ennemi", ""
"strength1", " Total HP ", " к Здоровью", "健康", "zur Gesundheit", "à la santé", ""
"strength21", " Health regeneration effects get ", " Усиление лечения ", "加强治疗", "Gesundheitsregenerationseffekte bekommen", "Les effets de régénération de la santé deviennent", ""
"strength22", " % bonus", "% ", "％奖金", "% Bonus", "% prime", ""
"strength3", " Your Stun and Bash chances get ", " шансы оглушения и оцепенения ", "令人震惊和麻木的几率", "Chancen auf Betäubung und Taubheit", "Vos chances d'étourdissement et de coup bas", ""
"strength4", " % Stamina use reduction to all Melee attacks ", " % снижение расхода вын. на физ. атаки ", "% 减少所有近战攻击的耐力消耗", "% Ausdauer reduziert alle Nahkampfangriffe", "% D'utilisation de l'endurance réduite à toutes les attaques de mêlée", ""
"strength5", " % to Total HP", " % к общему здоровью ", " 占整体健康的百分比", "% zur allgemeinen Gesundheit", "% à la santé générale", ""
"endurance1", " to Total Stamina", " к Выносливости ", "总计耐力", "zur totalen Ausdauer", "pour une endurance totale", ""
"endurance2", " % less Stamina for moving ", " % Выносливости на передвижение ", "运动时的耐力％", "% weniger Ausdauer beim Bewegen", "% moins d'endurance lors du déplacement", ""
"endurance31", "Block needs ", " Блок расходует ", "阻止需求", "Blockbedarf", "Blockbedarf", ""
"endurance32", " % less Stamina ", " % меньше выносливости ", "耐力降低％", "% weniger Ausdauer", "% moins d'endurance", ""
"endurance4", " % to Total Stamina", " % к Выносливости", "总耐力的％", "% zur Gesamtausdauer", "% d'endurance totale", ""
"endurance5", " % Stamina use reduction to magic", " % от общ. выносливости меньше на магию", "消耗耐力降低魔法", "% Ausdauer verbraucht weniger Magie", "% D'utilisation de l'endurance réduite à la magie", ""
"speed1", " % to Total movement distance", " % к общему расстоянию передвиж. ", "占总移动距离的百分比", "% bis Gesamtbewegungsentfernung", "% à la distance totale de mouvement", ""
"speed2", " % To Crit Damage", " % к крит. урону ", "% 严重损坏", "% Zu kritischem Schaden", "% Aux dégâts critiques", ""
"speed3", " Enemy Bash, Stun Chances get", " Вражеские шансы оглуш. и оцепен. ", "敌人重击，眩晕机会", "Enemy Bash, Betäubungschancen bekommen", "Les chances ennemies d'étourdissement et d'engourdissement", ""
"speed4", " % Crit Damage Chance", " % шанса крит. урона ", "％暴击率", "% Chance auf kritischen Schaden", "% de chances de crit. dommage", ""
"speed5", " Enemy Crit and Dodge Chances get ", " вражеские шансы крита и уворота ", "敌人暴击和闪避机会获得", "Enemy Crit und Dodge Chances bekommen", "cotes ennemies de crit et d'esquive", ""
"sleep1", " To Stamina regeneration per sleep", " к восстановлению выносл. за сон ", "每次睡眠要耐力再生", "Zur Regeneration der Ausdauer pro Schlaf", "restaurer l'endurance par rêve", ""
"sleep2", " You can use Magic! ", " Открывает магию ", "您可以使用魔术！", "Sie können Magic verwenden!", "Déverrouille la magie", ""
"sleep3", " Stamina each turn ", " Выносливости за ход", "每转耐力", "Ausdauer in jeder Runde", "Endurance par tour", ""
"sleep4", " % to magic debuff chance", " % к шансу магич. дебаффа ", "魔法减益几率", "% zur magischen Debuff-Chance", "% au hasard mag. affaiblir", ""
"sleep5", " % To magic", " % к магии ", "％魔法", "% Zur Magie", "% À la magie", ""
"regen1", " To Health regeneration per sleep", " к восстановлению здоровья за сон", "促进每次睡眠恢复健康", "Zur Gesundheitsregeneration pro Schlaf", "À régénération de santé par sommeil", ""
"regen21", " enemy block gets", " вражеский блок ", "敌人获得", "feindlicher Block bekommt", "bloc ennemi obtient", ""
"regen22", " % chance ", " % шанс", "% 机会", "% Chance", "% chance", ""
"regen3", " HP each turn", " здоровья за ход", "每转生命", "Gesundheit pro Runde", "santé par tour", ""
"regen4", "  % to enemy magic damage", " % вражескому маг. урону ", "对敌人的魔法伤害", "% auf magischen Schaden des Feindes", "% de dégâts magiques sur l'ennemi", ""
"regen5", " % To health regeneration effets", " % Эффектам восст. здоровья ", "% 为了健康再生", "% Um die Gesundheit zu regenerieren", "% Aux effets de régénération de la santé", ""
"no", "No", "Нет", "但是", "Nein", "non", ""
"yes", "Yes", "Да", "是的", "Ja", "Oui", ""
"ok", "OK", "OK", "好啦", "Ok", "D'accord", ""
"buy", "Buy", "Купить", "买", "Kaufen", "Acheter", ""
"Armor", "Armor", "Сопр. физ. урону", "护甲", "Rüstung", "Armure", ""
"Damage", "Damage", "Урон", "破损", "Schaden", "Dommage", ""
"MissChance", "Dodge сhance", "Шанс уворота", "道奇", "Ausweichen Chance", "Dodge chance", ""
"BashChance", "Bash сhance", "Шанс оглуш.", "重击", "Bash Chance", "Bash Chance", ""
"CriticalChance", "Crit chance", "Шанс крит. урона", "暴击几率", "Kritische Chance", "Chance critique", ""
"StunChance", "Stun chance", "Шанс оцепенения", "眩晕机会", "Chance betäuben", "Chance d'étourdissement", ""
"BlockChance", "Block chance", "Шанс блока", "阻止机会", "Chance blockieren", "bloquer la chance", ""
"Magic", "Magic", "Магия", "魔力", "Magie", "la magie", ""
"Feet", "Feet", "Ступни", "脚", "Füße", "Pieds", ""
"Legs", "Legs", "Ноги", "腿部", "Beine", "Jambes", ""
"Chest", "Chest", "Грудь", "荣誉", "Brust", "L'honneur", ""
"Arms", "Arms", "Руки", "武器", "Hände", "Bras", ""
"Head", "Head", "Голова", "头", "Kopf", "Tête", ""
"LeftHand", "Left hand", "Лев. рука", "左手", "Leo Hand", "Main gauche", ""
"RightHand", "Right hand", "Прав. рука", "右手", "Rechte Hand", "Main droite", ""
"BothHands", "Both hands", "Обе руки", "双手", "Beide Hände", "Les deux mains", ""
"buyOrNot", "Do u want to buy ", "Вы хотите купить ", "你想买吗", "Willst du kaufen?", "Veux-tu acheter", ""
"buyWarning1", "You have already bought the ", "Вы уже приобрели ", "你已经买了", "Sie haben bereits gekauft", "Vous avez déjà acheté", ""
"buyWarning2", "Your Power have to be 16 or more to use double handed weapons! ", "Ваща мощь должна быть 16 или больше для использования двуручного оружия!", "您的威力必须等于或大于16，才能使用双手武器！", "Ihre Kraft muss 16 oder mehr betragen, um Zweihandwaffen einsetzen zu können", "Votre puissance doit être de 16 ou plus pour utiliser des armes à deux mains!", ""
"buyWarning3", "Not enough Bread!", "Недостаточно хлеба!", "面包不够！", "Nicht genug Brot!", "Pas assez de pain!", ""
"buyWarning4", "Not enough space in inventory!", "Недостаточно места в инвентаре!", "库存空间不足！", "Nicht genug Platz im Inventar!", "Pas assez d'espace en inventaire!", ""
"sellwarning1", "Do you really", "Вы хотите", "你真的吗", "du", "Tu veux", ""
"sellwarning2", "want to sell ", "продать", "想卖", "verkaufen wollen", "vendre", ""
"for", "for ", "за ", "为", "für", "pour", ""
"passrst", "Reset password", "Сброс пароля", "重设密码", "Passwort zurückgesetzt", "Réinitialiser le mot de passe", ""
"get_token", "Get token", "Запросить токен", "获取令牌", "Bekomme Token", "Jeton de demande", ""
"resetpasswordwarning1", "A token was sent to the email associated with your username, use it to confirm password change", "На email связаный с вашим аккаунтом был послан токен для подтверждения смены пароля", "令牌已发送到与您的用户名关联的电子邮件中，用于确认密码更改", "An die mit Ihrem Benutzernamen verknüpfte E-Mail wurde ein Token gesendet. Bestätigen Sie damit die Kennwortänderung", "Un jeton a été envoyé à l'e-mail associé à votre nom d'utilisateur, utilisez-le pour confirmer le changement de mot de passe", ""
"resetpasswordwarning2", "Email and username pair is not valid", "Имя пользователя и почта не совпадают", "电子邮件和用户名对无效", "Das Paar aus E-Mail und Benutzername ist ungültig", "La paire e-mail / nom d'utilisateur n'est pas valide", ""
"resetpasswordwarning3", "Email is not specified!", "Не указан email!", "未指定电子邮件！", "E-Mail ist nicht angegeben!", "L'email n'est pas spécifié!", ""
"resetpasswordwarning4", "Invalid token or ", "Неправильный токен или ", "无效的令牌或", "Ungültiger Token oder", "Jeton non valide ou", ""
"resetpasswordwarning5", " Password has been successfully changed!", "Пароль успешно сменён! ", "密码已成功更改！", "Passwort wurde erfolgreich geändert!", "Le mot de passe a été changé avec succès!", ""
"loginerror1", "Wrong username and password, or check your internet connection", "Неверные имя пользователя и пароль или проверьте интернет соединение", "户名和密码错误，或检查您的互联网连接", "Falscher Benutzername und falsches Passwort oder überprüfen Sie Ihre Internetverbindung", "Nom d'utilisateur et mot de passe incorrects, ou vérifiez votre connexion Internet", ""
"Ice", "Ice", "Лёд", "冰块", "Eis", "La glace", ""
"Curse", "Curse", "Порча", "变质", "Fluch", "Malédiction", ""
"Fire", "Fire", "Огонь", "着火", "Fire", "Feu", ""
"Bolt", "Bolt", "Гром", "迅雷", "Bolzen", "Boulon", ""
"ice_description", "Deals Damage and has a chance to bash the target.", "Наносит урон и имеет шанс оглушить", "造成伤害并有一定几率使目标昏迷", "Verursacht Schaden und hat eine Chance zu betäuben", "Inflige des dégâts et a une chance d'étourdir la cible.", ""
"curse_description", "Deals Damage and prevents all healling effects.", "Наносит урон и ослабляет эфф. лечения", "造成伤害并防止所有沉重效果", "Verursacht Schaden und schwächt den Heileffekt.", "Inflige des dégâts et empêche tous les effets de soin.", ""
"fire_description", "Deals Damage and decreases enemy armour and damage resistance.", "Наносит урон и снижает сопр. урону и шанс блока", "造成伤害并降低敌人的护甲和伤害抗性", "Verursacht Schaden und verringert die Rüstung und den Schadenswiderstand des Feindes", "Inflige des dégâts et diminue l'armure ennemie et la résistance aux dégâts.", ""
"bolt_description", "Deals Damage and has a chance to Deal a 2 x magic Damage.", "Наносит урон имеет шанс нанести 2x урона", "造成伤害，并有一定几率造成双倍魔法伤害", "Verursacht Schaden und hat die Chance, 2 x magischen Schaden zu verursachen.", "Deals Damage and has a chance to Deal a 2 x magic Damage.", ""
"magic_text1", " Magic - Eqquipped!", "Магия экипирована!", "魔术-装备精良！", "Magie - Ausgestattet!", "Magic - Équipé!", ""
"magic_text2", "The basic magic damage is calculated as Sleep stat x 0.5", "Базовый урон магии рассчитвается как Сон умноженный на 0.5", "基础魔法伤害的计算方式为睡眠时间0.5", "Der magische Grundschaden wird als Schlafstatus x 0,5 berechnet", "The basic magic damage is calculated as Sleep stat x 0.5", ""
"magic_text3", "Maximux chance of a debuff is 24 %.  ", "Максимальный шанс дебаффа 24 %", "最大的减益几率是24%", "Die maximale Chance eines Debuffs beträgt 24", "La chance maximale d'un debuff est de 24%.", ""
"magic_text4", "You can use Magic only if your Sleep stat is higher than 16.", " Вы можете использовать магию только если Сон больше 16", "仅当您的睡眠时间大于16时才能使用魔术", "Sie können Magic nur verwenden, wenn Ihr Schlafstatus höher als 16 ist", "Vous ne pouvez utiliser Magic que si votre statistique de sommeil est supérieure à 16.", ""
"celebration", "Celebration", "Жест победы", "庆祝活动", "Feier", "Fête", ""
"beard", "Beard", "Борода", "胡须", "Bart", "barbe", ""
"hairstyle", "Hair style", "Прическа", "发型", "Frisur", "Coiffure", ""
"color", "Color", "Цвета", "色泽", "Farbe", "Couleur", ""
"body", "Body", "Тело", "身材", "Körper", "Corps", ""
"hair", "Hair", "Волосы", "头发", "Haare", "Cheveux", ""
"customise", "Customise", "Внешность", "自订", "Anpassen", "Personnaliser", ""
"weapon", "Weapon", "Оружие", "武器装备", "Waffe", "Arme", ""
"armour", "Armour", "Доспехи", "护甲", "Rüstung", "Armure", ""
"swords", "Swords", "Мечи", "剑", "Schwerter", "Épées", ""
"longswords", "Long swords", "Длин. мечи", "长剑", "Langschwerter", "Épées longues", ""
"spears", "Spears", "Копья", "长矛", "Speere", "Des lances", ""
"daggers", "Daggers", "Кинжалы", "匕首", "Dolche", "Dagues", ""
"hammers", "Hammers", "Молоты", "锤子", "Hämmer", "Marteaux", ""
"axes", "Axes", "Топоры", "轴数", "Achsen", "Haches", ""
"feet", "Feet", "Ступни", "脚", "Füße", "Pieds", ""
"legs", "Legs", "Ноги", "腿部", "Beine", "Jambes", ""
"chest", "Chest", "Грудь", "荣誉", "Truhe", "L'honneur", ""
"arms", "Arms", "Руки", "武器", "Waffen", "Bras", ""
"head", "Head", "Голова", "头", "Kopf", "tête", ""
"shields", "Shields", "Щиты", "盾牌", "Schilde", "Boucliers", ""
"chest_text1", "Wins for", "Побед для", "赢得", "Gewinne für", "Gagne pour", ""
"chest_text2", "a reward", "призового", "奖励", "eine Belohnung", "une récompense", ""
"chest_text3", "chest:", "сундука", "荣誉", "Truhe", "honneur:", ""
"Stunned", "Stunned", "Оцепен.", "惊呆了", "Betäubt", "Étourdi", ""
"Bashed", "Bashed", "Оглуш.", "猛击", "Bashed", "Bashed", ""
"Crit", "Crit", "Крит", "暴击", "Kritischer", "Crit", ""
"Miss", "Miss", "Промах", "小姐", "Fräulein", "Mademoiselle", ""
"Blocked", "Blocked", "Блок", "受阻", "Blockieren", "Bloqué", ""
"addverttext1", "Watch add for extra chest", "Посмотреть рекламу за ещё 1 сундук", "手表增加多余的胸部", "Watch Add für zusätzliche Brust", "Montre ajouter pour plus de poitrine", ""
"attack_info", "Increases basic damage", "Повышает базовый урон", "增加基本伤害", "Erhöht den Grundschaden", "Augmente les dégâts de base", ""
"agility_info", "Increases block chance", "Повышает шанс блока", "增加格挡几率", "Erhöht die Blockchance", "Augmente les chances de blocage", ""
"power_info", "Increases physical damage reduction", "Повышает сопротивление вражескому урону", "增加物理伤害减免", "Erhöht die Reduzierung des physischen Schadens", "Augmente la réduction des dégâts physiques", ""
"strength_info", "Increases total HP pool", "Увеличивает запас здоровья", "增加总的健康池", "Erhöht den gesamten Gesundheitspool", "Augmente la santé totale", ""
"endurance_info", "Increases total stamina", "Увеличивает запас выносливости", "增加总耐力", "Erhöht die Gesamtausdauer", "Augmente l'endurance totale", ""
"speed_info", "Increases movement distance and medium and light attaks range", "Увеличивает дистанцию передвижения и дальность среднего и слабого ударов", "增加移动距离以及中等和轻度攻击范围", "Erhöht die Bewegungsentfernung und die Reichweite von mittleren und leichten Attacken", "Augmente la distance de déplacement et la portée des attaques moyennes et légères", ""
"sleep_info", "Inreases stamina regen for sleep and every turn. If more than 16 allows using magic and increases its damage and debuff chance", "Увеличиват восстановление стамины за сон и просто за ход. При СНЕ больше 15 позволяет исп. магию", "增加睡眠和每转的耐力恢复。如果超过16则允许使用魔法并增加其伤害和减益几率", "Erhöht die Ausdauerregeneration für Schlaf und jede Runde. Wenn mehr als 16 die Verwendung von Magie erlauben und deren Schaden und Debuff-Chance erhöhen", "Augmente la régénération de l'endurance pour le sommeil et à chaque tour. Si plus de 16 permet d'utiliser la magie et augmente ses dégâts et ses chances de debuff", ""
